[2022-07-03 23:22:37,092][root][INFO] - Start!
[2022-07-03 23:22:41,586][root][INFO] - train-size=37500, val-size=12500
[2022-07-03 23:26:11,072][root][INFO] - epoch_num=1, train-acc@1: 94.45866666666667
[2022-07-03 23:26:11,073][root][INFO] - epoch_num=1, train-acc@5: 99.86133333333333
[2022-07-03 23:26:44,980][root][INFO] - epoch_num=1, val-acc@1: 94.096
[2022-07-03 23:26:44,981][root][INFO] - epoch_num=1, val-acc@5: 99.768
[2022-07-03 23:30:16,632][root][INFO] - epoch_num=2, train-acc@1: 95.16533333333334
[2022-07-03 23:30:16,632][root][INFO] - epoch_num=2, train-acc@5: 99.936
[2022-07-03 23:30:50,687][root][INFO] - epoch_num=2, val-acc@1: 94.632
[2022-07-03 23:30:50,687][root][INFO] - epoch_num=2, val-acc@5: 99.83999999999999
[2022-07-03 23:34:23,408][root][INFO] - epoch_num=3, train-acc@1: 95.49333333333333
[2022-07-03 23:34:23,408][root][INFO] - epoch_num=3, train-acc@5: 99.94933333333333
[2022-07-03 23:34:57,562][root][INFO] - epoch_num=3, val-acc@1: 94.92
[2022-07-03 23:34:57,563][root][INFO] - epoch_num=3, val-acc@5: 99.888
[2022-07-03 23:38:28,932][root][INFO] - epoch_num=4, train-acc@1: 95.61333333333333
[2022-07-03 23:38:28,933][root][INFO] - epoch_num=4, train-acc@5: 99.94666666666666
[2022-07-03 23:39:03,084][root][INFO] - epoch_num=4, val-acc@1: 95.06400000000001
[2022-07-03 23:39:03,085][root][INFO] - epoch_num=4, val-acc@5: 99.90400000000001
[2022-07-03 23:42:34,454][root][INFO] - epoch_num=5, train-acc@1: 95.67466666666667
[2022-07-03 23:42:34,455][root][INFO] - epoch_num=5, train-acc@5: 99.944
[2022-07-03 23:43:08,235][root][INFO] - epoch_num=5, val-acc@1: 95.06400000000001
[2022-07-03 23:43:08,235][root][INFO] - epoch_num=5, val-acc@5: 99.92
[2022-07-03 23:46:40,037][root][INFO] - epoch_num=6, train-acc@1: 95.71733333333333
[2022-07-03 23:46:40,037][root][INFO] - epoch_num=6, train-acc@5: 99.94666666666666
[2022-07-03 23:47:15,050][root][INFO] - epoch_num=6, val-acc@1: 95.152
[2022-07-03 23:47:15,050][root][INFO] - epoch_num=6, val-acc@5: 99.92
[2022-07-03 23:50:48,250][root][INFO] - epoch_num=7, train-acc@1: 95.776
[2022-07-03 23:50:48,250][root][INFO] - epoch_num=7, train-acc@5: 99.94933333333333
[2022-07-03 23:51:22,488][root][INFO] - epoch_num=7, val-acc@1: 95.208
[2022-07-03 23:51:22,488][root][INFO] - epoch_num=7, val-acc@5: 99.912
[2022-07-03 23:54:54,108][root][INFO] - epoch_num=8, train-acc@1: 95.792
[2022-07-03 23:54:54,108][root][INFO] - epoch_num=8, train-acc@5: 99.952
[2022-07-03 23:55:28,220][root][INFO] - epoch_num=8, val-acc@1: 95.176
[2022-07-03 23:55:28,220][root][INFO] - epoch_num=8, val-acc@5: 99.912
[2022-07-03 23:59:00,270][root][INFO] - epoch_num=9, train-acc@1: 95.82133333333334
[2022-07-03 23:59:00,270][root][INFO] - epoch_num=9, train-acc@5: 99.95466666666667
[2022-07-03 23:59:34,418][root][INFO] - epoch_num=9, val-acc@1: 95.176
[2022-07-03 23:59:34,419][root][INFO] - epoch_num=9, val-acc@5: 99.912
[2022-07-04 00:03:07,571][root][INFO] - epoch_num=10, train-acc@1: 95.856
[2022-07-04 00:03:07,571][root][INFO] - epoch_num=10, train-acc@5: 99.95466666666667
[2022-07-04 00:03:41,915][root][INFO] - epoch_num=10, val-acc@1: 95.16
[2022-07-04 00:03:41,915][root][INFO] - epoch_num=10, val-acc@5: 99.90400000000001
[2022-07-04 00:07:15,014][root][INFO] - epoch_num=11, train-acc@1: 95.896
[2022-07-04 00:07:15,015][root][INFO] - epoch_num=11, train-acc@5: 99.95466666666667
[2022-07-04 00:07:49,400][root][INFO] - epoch_num=11, val-acc@1: 95.208
[2022-07-04 00:07:49,401][root][INFO] - epoch_num=11, val-acc@5: 99.912
