[2022-07-27 20:18:24,912][root][INFO] - Start!
[2022-07-27 20:19:00,827][root][INFO] - train-size=50000, val-size=0
[2022-07-27 20:19:24,071][root][INFO] - epoch_num=1, train-acc@1: 67.44
[2022-07-27 20:19:24,073][root][INFO] - epoch_num=1, train-acc@5: 89.29599999999999
[2022-07-27 20:19:24,188][root][INFO] - epoch_num=1, val-acc@1: nan
[2022-07-27 20:19:24,188][root][INFO] - epoch_num=1, val-acc@5: nan
[2022-07-27 20:19:41,292][root][INFO] - epoch_num=2, train-acc@1: 67.662
[2022-07-27 20:19:41,294][root][INFO] - epoch_num=2, train-acc@5: 89.416
[2022-07-27 20:19:41,394][root][INFO] - epoch_num=2, val-acc@1: nan
[2022-07-27 20:19:41,394][root][INFO] - epoch_num=2, val-acc@5: nan
[2022-07-27 20:19:58,429][root][INFO] - epoch_num=3, train-acc@1: 67.78800000000001
[2022-07-27 20:19:58,431][root][INFO] - epoch_num=3, train-acc@5: 89.52799999999999
[2022-07-27 20:19:58,532][root][INFO] - epoch_num=3, val-acc@1: nan
[2022-07-27 20:19:58,532][root][INFO] - epoch_num=3, val-acc@5: nan
[2022-07-27 20:20:15,568][root][INFO] - epoch_num=4, train-acc@1: 67.838
[2022-07-27 20:20:15,570][root][INFO] - epoch_num=4, train-acc@5: 89.55199999999999
[2022-07-27 20:20:15,672][root][INFO] - epoch_num=4, val-acc@1: nan
[2022-07-27 20:20:15,673][root][INFO] - epoch_num=4, val-acc@5: nan
[2022-07-27 20:20:32,767][root][INFO] - epoch_num=5, train-acc@1: 67.808
[2022-07-27 20:20:32,767][root][INFO] - epoch_num=5, train-acc@5: 89.554
[2022-07-27 20:20:32,870][root][INFO] - epoch_num=5, val-acc@1: nan
[2022-07-27 20:20:32,870][root][INFO] - epoch_num=5, val-acc@5: nan
[2022-07-27 20:20:49,862][root][INFO] - epoch_num=6, train-acc@1: 67.886
[2022-07-27 20:20:49,863][root][INFO] - epoch_num=6, train-acc@5: 89.578
[2022-07-27 20:20:49,962][root][INFO] - epoch_num=6, val-acc@1: nan
[2022-07-27 20:20:49,963][root][INFO] - epoch_num=6, val-acc@5: nan
[2022-07-27 20:21:07,064][root][INFO] - epoch_num=7, train-acc@1: 67.902
[2022-07-27 20:21:07,065][root][INFO] - epoch_num=7, train-acc@5: 89.594
[2022-07-27 20:21:07,165][root][INFO] - epoch_num=7, val-acc@1: nan
[2022-07-27 20:21:07,166][root][INFO] - epoch_num=7, val-acc@5: nan
[2022-07-27 20:21:24,187][root][INFO] - epoch_num=8, train-acc@1: 67.888
[2022-07-27 20:21:24,188][root][INFO] - epoch_num=8, train-acc@5: 89.58
[2022-07-27 20:21:24,284][root][INFO] - epoch_num=8, val-acc@1: nan
[2022-07-27 20:21:24,284][root][INFO] - epoch_num=8, val-acc@5: nan
[2022-07-27 20:21:41,193][root][INFO] - epoch_num=9, train-acc@1: 67.882
[2022-07-27 20:21:41,193][root][INFO] - epoch_num=9, train-acc@5: 89.57000000000001
[2022-07-27 20:21:41,297][root][INFO] - epoch_num=9, val-acc@1: nan
[2022-07-27 20:21:41,297][root][INFO] - epoch_num=9, val-acc@5: nan
[2022-07-27 20:21:58,347][root][INFO] - epoch_num=10, train-acc@1: 67.878
[2022-07-27 20:21:58,349][root][INFO] - epoch_num=10, train-acc@5: 89.568
[2022-07-27 20:21:58,448][root][INFO] - epoch_num=10, val-acc@1: nan
[2022-07-27 20:21:58,448][root][INFO] - epoch_num=10, val-acc@5: nan
[2022-07-27 20:22:15,587][root][INFO] - epoch_num=11, train-acc@1: 67.868
[2022-07-27 20:22:15,588][root][INFO] - epoch_num=11, train-acc@5: 89.568
[2022-07-27 20:22:15,694][root][INFO] - epoch_num=11, val-acc@1: nan
[2022-07-27 20:22:15,694][root][INFO] - epoch_num=11, val-acc@5: nan
[2022-07-27 20:22:32,628][root][INFO] - epoch_num=12, train-acc@1: 67.864
[2022-07-27 20:22:32,629][root][INFO] - epoch_num=12, train-acc@5: 89.564
[2022-07-27 20:22:32,733][root][INFO] - epoch_num=12, val-acc@1: nan
[2022-07-27 20:22:32,733][root][INFO] - epoch_num=12, val-acc@5: nan
[2022-07-27 20:22:49,829][root][INFO] - epoch_num=13, train-acc@1: 67.864
[2022-07-27 20:22:49,831][root][INFO] - epoch_num=13, train-acc@5: 89.564
[2022-07-27 20:22:49,932][root][INFO] - epoch_num=13, val-acc@1: nan
[2022-07-27 20:22:49,932][root][INFO] - epoch_num=13, val-acc@5: nan
[2022-07-27 20:23:06,969][root][INFO] - epoch_num=14, train-acc@1: 67.862
[2022-07-27 20:23:06,970][root][INFO] - epoch_num=14, train-acc@5: 89.558
[2022-07-27 20:23:07,080][root][INFO] - epoch_num=14, val-acc@1: nan
